feature,importance
feature_60,0.31586825211007846
feature_44,0.199251430626092
feature_2,0.18503914281644518
feature_64,0.10529752278008793
feature_57,0.05218926274112925
feature_25,0.032305593898586664
feature_38,0.015634083982503634
feature_80,0.010152300671448053
feature_66,0.009335712156347185
feature_35,0.009021606529186982
feature_82,0.007989661630206469
feature_41,0.007387977516076172
feature_17,0.007119961210192724
feature_61,0.006556712942972969
feature_75,0.005246643410556371
feature_0,0.005068749209674649
feature_83,0.004913169463168227
feature_58,0.003989398994499925
feature_9,0.0030176915618691366
feature_7,0.002887020914598375
feature_4,0.002717524438265398
feature_63,0.00258013784645676
feature_10,0.001218241330365454
feature_12,0.0009209767379787883
feature_74,0.0007494010607566895
feature_54,0.0007312993592144858
feature_1,0.0007081649218323144
feature_15,0.0006942633661656372
feature_53,0.0006275405227166411
feature_5,0.00043883462841646
feature_48,0.00020923397009681513
feature_76,8.869232895480058e-05
feature_3,4.379432305939832e-05
feature_6,0.0
feature_8,0.0
feature_11,0.0
feature_16,0.0
feature_13,0.0
feature_14,0.0
feature_22,0.0
feature_21,0.0
feature_20,0.0
feature_19,0.0
feature_18,0.0
feature_37,0.0
feature_33,0.0
feature_36,0.0
feature_30,0.0
feature_29,0.0
feature_31,0.0
feature_23,0.0
feature_27,0.0
feature_28,0.0
feature_24,0.0
feature_26,0.0
feature_51,0.0
feature_52,0.0
feature_49,0.0
feature_50,0.0
feature_47,0.0
feature_43,0.0
feature_45,0.0
feature_46,0.0
feature_39,0.0
feature_40,0.0
feature_42,0.0
feature_32,0.0
feature_34,0.0
feature_59,0.0
feature_62,0.0
feature_55,0.0
feature_70,0.0
feature_69,0.0
feature_68,0.0
feature_67,0.0
feature_65,0.0
feature_56,0.0
feature_73,0.0
feature_71,0.0
feature_78,0.0
feature_77,0.0
feature_72,0.0
feature_79,0.0
feature_81,0.0
feature_84,0.0
feature_85,0.0
feature_86,0.0
